State,CD,Democrat,Percent Democrat,Repulican,Percent Republican,Other,Percent Other Party,Independent,Percent Independent,Party total,White,Percent White,Black,Percent Black,Hispanic,Percent Hispanic,Other Race,Percent Other Race,Unknown Race,Percent Unknown Race,Race Total,Female,Percent Female,Male,Percent Male,Unknown Gender,Percent Unknown Gender,Gender Total,18-29,Percent 18-29,30-44,Percent 30-44,45-60,Percent 45-60,60+,Percent 60+,Unknown Age,Percent Unknown Age,Age Total,Note
AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,,"4,839",48.20%,"3,400",33.80%,97,1.00%,"1,711",17.00%,"10,047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Requests
DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,,"1,105,385",39.00%,"1,166,367",41.10%,"69,447",2.40%,"495,125",17.50%,"2,836,324",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Requests
GA,,,,,,,,,,,98014,67.60%,29208,20.10%,1622,1.10%,4507,3.10%,11702,8.10%,"145,053","86,003",59.30%,"55,594",38.30%,"3,456",2.40%,"145,053","20,813",14.30%,"12,650",8.70%,"22,185",15.30%,"86,127",59.40%,"3,278",2.30%,"145,053",Requests
HI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,,"135,638",44.90%,"104,780",34.70%,739,0.20%,"60,885",20.20%,"302,042",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Requests
KS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME,,"26,751",47.10%,"12,670",22.30%,"1,730",3.00%,"15,700",27.60%,"56,851",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CD 1,"17,592",48.70%,"7,441",20.60%,"1,055",2.90%,"10,039",27.80%,"36,127",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CD 2,"9,159",44.20%,"5,229",25.20%,675,3.30%,"5,661",27.30%,"20,724",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC,,"42,638",31.60%,"54,024",40.10%,464,0.30%,"37,627",27.90%,"134,753",112642,83.60%,11674,8.70%,1695,1.30%,4564,3.40%,4178,3.10%,"134,753","76,752",57.00%,"55,711",41.30%,"2,290",1.70%,"134,753","22,995",17.10%,"15,810",11.70%,"24,094",17.90%,"71,854",53.30%,,,"134,753","Ballots requested, No duplicates"
ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"1,315,251",39.40%,"1,341,241",40.20%,"72,477",2.20%,"611,048",18.30%,"3,340,017",210656,75.30%,40882,14.60%,3317,1.20%,9071,3.20%,15880,5.70%,279806,"162,755",58.20%,"111,305",39.80%,"5,746",2.10%,"279,806","43,808",15.70%,"28,460",10.20%,"46,279",16.50%,"157,981",56.50%,"3,278",1.20%,"279,806",